year,total_patents,kw_5g,kw_ai_ml,kw_cloud_edge,kw_security,kw_iot,kw_network,kw_energy,kw_antenna,kw_data,kw_5g_share,kw_ai_ml_share,kw_cloud_edge_share,kw_security_share,kw_iot_share,kw_network_share,kw_energy_share,kw_antenna_share,kw_data_share,trend,lag_1,lag_2,growth_rate,growth_rate_lag_1,kw_5g_share_lag_1,kw_ai_ml_share_lag_1,kw_cloud_edge_share_lag_1,kw_security_share_lag_1,kw_iot_share_lag_1,kw_network_share_lag_1,kw_energy_share_lag_1,kw_antenna_share_lag_1,kw_data_share_lag_1
1976,36,0,0,0,0,0,12,2,0,6,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.0,0.16666666666666666,1,,,,,,,,,,,,,
1977,42,0,0,0,1,0,6,1,1,2,0.0,0.0,0.0,0.023809523809523808,0.0,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.047619047619047616,2,36.0,,0.16666666666666674,,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.0,0.16666666666666666
1978,45,0,0,0,0,0,10,1,0,6,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.022222222222222223,0.0,0.13333333333333333,3,42.0,36.0,0.0714285714285714,0.16666666666666674,0.0,0.0,0.0,0.023809523809523808,0.0,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.047619047619047616
1979,28,0,0,0,0,0,6,0,1,3,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.03571428571428571,0.10714285714285714,4,45.0,42.0,-0.37777777777777777,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.022222222222222223,0.0,0.13333333333333333
1980,17,0,0,0,0,0,4,1,0,2,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,5,28.0,45.0,-0.3928571428571429,-0.37777777777777777,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.03571428571428571,0.10714285714285714
1981,12,0,0,0,0,0,6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.08333333333333333,6,17.0,28.0,-0.2941176470588235,-0.3928571428571429,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941
1982,14,0,0,0,0,0,8,0,0,2,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,7,12.0,17.0,0.16666666666666674,-0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.08333333333333333
1983,22,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.045454545454545456,8,14.0,12.0,0.5714285714285714,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285
1984,34,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.029411764705882353,0.0,0.029411764705882353,9,22.0,14.0,0.5454545454545454,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.045454545454545456
1985,26,0,0,1,0,0,8,0,0,1,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.038461538461538464,10,34.0,22.0,-0.23529411764705888,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.029411764705882353,0.0,0.029411764705882353
1986,49,0,0,0,0,0,8,1,0,3,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.02040816326530612,0.0,0.061224489795918366,11,26.0,34.0,0.8846153846153846,-0.23529411764705888,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.038461538461538464
1987,42,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.047619047619047616,0.0,0.0,12,49.0,26.0,-0.1428571428571429,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.02040816326530612,0.0,0.061224489795918366
1988,40,0,0,0,0,0,8,0,1,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.025,0.05,13,42.0,49.0,-0.04761904761904767,-0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.047619047619047616,0.0,0.0
1989,29,0,0,0,0,0,11,3,0,2,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.10344827586206896,0.0,0.06896551724137931,14,40.0,42.0,-0.275,-0.04761904761904767,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.025,0.05
1990,33,0,0,0,0,0,12,3,1,4,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.030303030303030304,0.12121212121212122,15,29.0,40.0,0.13793103448275867,-0.275,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.10344827586206896,0.0,0.06896551724137931
1991,40,0,0,0,1,0,11,1,0,4,0.0,0.0,0.0,0.025,0.0,0.275,0.025,0.0,0.1,16,33.0,29.0,0.21212121212121215,0.13793103448275867,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.030303030303030304,0.12121212121212122
1992,54,0,0,0,2,0,25,1,1,0,0.0,0.0,0.0,0.037037037037037035,0.0,0.46296296296296297,0.018518518518518517,0.018518518518518517,0.0,17,40.0,33.0,0.3500000000000001,0.21212121212121215,0.0,0.0,0.0,0.025,0.0,0.275,0.025,0.0,0.1
1993,69,0,0,0,0,0,21,4,3,0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.057971014492753624,0.043478260869565216,0.0,18,54.0,40.0,0.2777777777777777,0.3500000000000001,0.0,0.0,0.0,0.037037037037037035,0.0,0.46296296296296297,0.018518518518518517,0.018518518518518517,0.0
1994,103,0,0,0,1,0,42,9,0,3,0.0,0.0,0.0,0.009708737864077669,0.0,0.4077669902912621,0.08737864077669903,0.0,0.02912621359223301,19,69.0,54.0,0.49275362318840576,0.2777777777777777,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.057971014492753624,0.043478260869565216,0.0
