year,kw_5g,kw_ai_ml,kw_cloud_edge,kw_security,kw_iot,kw_network,kw_energy,kw_antenna,kw_data
1976,0,0,0,0,0,12,2,0,6
1977,0,0,0,1,0,6,1,1,2
1978,0,0,0,0,0,10,1,0,6
1979,0,0,0,0,0,6,0,1,3
1980,0,0,0,0,0,4,1,0,2
1981,0,0,0,0,0,6,1,0,1
1982,0,0,0,0,0,8,0,0,2
1983,0,0,0,0,0,5,0,0,1
1984,0,0,0,0,0,8,1,0,1
1985,0,0,1,0,0,8,0,0,1
1986,0,0,0,0,0,8,1,0,3
1987,0,0,0,0,0,14,2,0,0
1988,0,0,0,0,0,8,0,1,2
1989,0,0,0,0,0,11,3,0,2
1990,0,0,0,0,0,12,3,1,4
1991,0,0,0,1,0,11,1,0,4
1992,0,0,0,2,0,25,1,1,0
1993,0,0,0,0,0,21,4,3,0
1994,0,0,0,1,0,42,9,0,3
1995,0,1,0,1,0,48,4,2,4
1996,0,2,0,3,0,90,12,5,18
1997,0,0,1,3,1,65,14,5,9
1998,0,2,4,3,0,136,42,16,28
1999,0,2,4,2,3,262,35,42,45
2000,0,2,1,1,1,273,50,57,44
2001,0,0,4,2,2,242,54,46,55
2002,0,3,6,3,3,254,63,32,42
2003,0,2,6,3,2,238,43,23,48
2004,0,0,8,7,0,189,28,12,41
2005,0,1,4,5,0,153,20,17,35
2006,0,1,3,9,0,178,19,21,31
2007,0,0,4,7,1,118,26,12,31
2008,0,2,2,2,2,125,21,27,26
2009,0,2,6,3,2,134,16,23,29
2010,0,1,4,9,2,223,40,41,59
2011,0,0,10,9,5,287,53,37,63
2012,0,2,21,11,3,397,52,35,79
2013,0,4,22,15,2,537,71,46,65
2014,1,9,27,18,0,704,84,50,112
2015,0,3,24,11,2,717,86,66,97
2016,0,1,32,21,0,770,95,60,103
2017,0,5,18,12,3,777,75,45,103
2018,0,2,19,12,2,671,52,52,79
2019,6,5,28,18,9,749,41,66,108
2020,16,1,32,16,7,643,47,64,81
2021,27,6,33,19,13,629,50,64,74
2022,47,5,42,27,15,635,53,69,86
2023,39,12,34,23,10,549,37,54,71
2024,51,22,45,28,13,655,39,79,104
2025,30,18,35,23,11,495,42,52,68
