year,design,reissue,utility
1976,0,0,36
1977,4,0,38
1978,4,0,41
1979,4,0,24
1980,5,0,12
1981,1,0,11
1982,2,0,12
1983,7,0,15
1984,8,0,26
1985,3,0,23
1986,11,0,38
1987,2,0,40
1988,2,0,38
1989,1,0,28
1990,8,0,25
1991,1,0,39
1992,0,0,54
1993,1,0,68
1994,6,0,97
1995,6,0,105
1996,2,0,215
1997,7,0,188
1998,24,1,419
1999,26,2,660
2000,48,0,776
2001,17,2,778
2002,13,3,765
2003,6,0,657
2004,7,0,506
2005,10,0,404
2006,13,0,455
2007,16,0,368
2008,12,2,397
2009,26,3,456
2010,31,3,760
2011,26,0,943
2012,4,0,1178
2013,0,2,1324
2014,0,0,1697
2015,0,2,1559
2016,3,1,1701
2017,1,2,1596
2018,1,1,1374
2019,1,4,1627
2020,1,2,1388
2021,2,0,1402
2022,2,2,1414
2023,0,4,1204
2024,1,6,1542
2025,0,6,1171
