year,is_utility,is_design,is_other_type
1976,1.0,0.0,0.0
1977,0.9047619047619048,0.09523809523809523,0.0
1978,0.9111111111111111,0.08888888888888889,0.0
1979,0.8571428571428571,0.14285714285714285,0.0
1980,0.7058823529411765,0.29411764705882354,0.0
1981,0.9166666666666666,0.08333333333333333,0.0
1982,0.8571428571428571,0.14285714285714285,0.0
1983,0.6818181818181818,0.3181818181818182,0.0
1984,0.7647058823529411,0.23529411764705882,0.0
1985,0.8846153846153846,0.11538461538461539,0.0
1986,0.7755102040816326,0.22448979591836735,0.0
1987,0.9523809523809523,0.047619047619047616,0.0
1988,0.95,0.05,0.0
1989,0.9655172413793104,0.034482758620689655,0.0
1990,0.7575757575757576,0.24242424242424243,0.0
1991,0.975,0.025,0.0
1992,1.0,0.0,0.0
1993,0.9855072463768116,0.014492753623188406,0.0
1994,0.941747572815534,0.05825242718446602,0.0
1995,0.9459459459459459,0.05405405405405406,0.0
1996,0.9907834101382489,0.009216589861751152,0.0
1997,0.9641025641025641,0.035897435897435895,0.0
1998,0.9436936936936937,0.05405405405405406,0.0022522522522522522
1999,0.9593023255813954,0.0377906976744186,0.0029069767441860465
2000,0.941747572815534,0.05825242718446602,0.0
2001,0.9761606022584692,0.02132998745294856,0.002509410288582183
2002,0.9795134443021767,0.016645326504481434,0.0038412291933418692
2003,0.9909502262443439,0.00904977375565611,0.0
2004,0.98635477582846,0.01364522417153996,0.0
2005,0.9758454106280193,0.024154589371980676,0.0
2006,0.9722222222222222,0.027777777777777776,0.0
2007,0.9583333333333334,0.041666666666666664,0.0
2008,0.9659367396593674,0.029197080291970802,0.004866180048661801
2009,0.9402061855670103,0.05360824742268041,0.006185567010309278
2010,0.9571788413098237,0.03904282115869018,0.003778337531486146
2011,0.9731682146542827,0.026831785345717233,0.0
2012,0.9966159052453468,0.00338409475465313,0.0
2013,0.9984917043740573,0.0,0.0015082956259426848
2014,1.0,0.0,0.0
2015,0.9987187700192185,0.0,0.0012812299807815502
2016,0.9976539589442815,0.0017595307917888563,0.0005865102639296188
2017,0.99812382739212,0.0006253908692933083,0.0012507817385866166
2018,0.998546511627907,0.0007267441860465116,0.0007267441860465116
2019,0.9969362745098039,0.0006127450980392157,0.0024509803921568627
2020,0.9978432782171099,0.0007189072609633358,0.0014378145219266715
2021,0.9985754985754985,0.0014245014245014246,0.0
2022,0.997179125528914,0.0014104372355430183,0.0014104372355430183
2023,0.9966887417218543,0.0,0.0033112582781456954
2024,0.9954809554551324,0.0006455777921239509,0.003873466752743706
2025,0.9949022939677146,0.0,0.005097706032285472
