year,is_utility,is_design,is_other_type
1976,36,0,0
1977,38,4,0
1978,41,4,0
1979,24,4,0
1980,12,5,0
1981,11,1,0
1982,12,2,0
1983,15,7,0
1984,26,8,0
1985,23,3,0
1986,38,11,0
1987,40,2,0
1988,38,2,0
1989,28,1,0
1990,25,8,0
1991,39,1,0
1992,54,0,0
1993,68,1,0
1994,97,6,0
1995,105,6,0
1996,215,2,0
1997,188,7,0
1998,419,24,1
1999,660,26,2
2000,776,48,0
2001,778,17,2
2002,765,13,3
2003,657,6,0
2004,506,7,0
2005,404,10,0
2006,455,13,0
2007,368,16,0
2008,397,12,2
2009,456,26,3
2010,760,31,3
2011,943,26,0
2012,1178,4,0
2013,1324,0,2
2014,1697,0,0
2015,1559,0,2
2016,1701,3,1
2017,1596,1,2
2018,1374,1,1
2019,1627,1,4
2020,1388,1,2
2021,1402,2,0
2022,1414,2,2
2023,1204,0,4
2024,1542,1,6
2025,1171,0,6
