year,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
1976,2,0,1,22,3,8
1977,2,0,0,31,4,5
1978,2,0,1,33,4,5
1979,4,0,2,19,3,0
1980,3,0,0,12,2,0
1981,3,0,1,7,0,1
1982,3,0,0,7,2,2
1983,2,0,0,16,2,2
1984,2,0,0,25,3,4
1985,1,0,0,17,5,3
1986,4,0,0,37,6,2
1987,2,0,1,33,4,2
1988,1,0,0,29,6,4
1989,5,0,0,16,6,2
1990,2,0,1,22,6,2
1991,4,0,2,23,7,4
1992,9,0,3,38,2,2
1993,13,0,4,47,4,1
1994,17,0,5,69,6,6
1995,25,0,7,63,9,7
1996,35,0,17,129,18,18
1997,24,2,10,126,22,11
1998,75,1,24,264,54,26
1999,125,2,59,392,70,40
2000,150,3,58,485,72,56
2001,123,8,46,502,71,47
2002,130,5,41,482,55,68
2003,106,1,52,389,66,49
2004,92,4,46,304,41,26
2005,69,3,37,213,59,33
2006,90,8,45,257,41,27
2007,48,11,39,228,34,24
2008,48,11,46,223,43,40
2009,73,11,45,280,26,50
2010,90,25,72,444,92,71
2011,120,21,101,550,90,87
2012,181,7,100,677,119,98
2013,236,1,107,786,135,61
2014,286,0,182,1009,148,72
2015,274,1,164,929,122,71
2016,274,0,189,1008,144,90
2017,290,0,186,911,113,99
2018,230,1,129,789,108,119
2019,249,0,176,976,83,148
2020,204,0,162,833,73,119
2021,180,0,166,875,64,119
2022,180,1,132,931,68,106
2023,153,0,118,813,54,70
2024,175,0,148,1056,84,86
2025,145,0,123,771,64,74
