year,legacy_1990s,legacy_pre_1990,mobile_2000s,modern_2020s,smartphone_2010s
1976,0,36,0,0,0
1977,0,42,0,0,0
1978,0,45,0,0,0
1979,0,28,0,0,0
1980,0,17,0,0,0
1981,0,12,0,0,0
1982,0,14,0,0,0
1983,0,22,0,0,0
1984,0,34,0,0,0
1985,0,26,0,0,0
1986,0,49,0,0,0
1987,0,42,0,0,0
1988,0,40,0,0,0
1989,0,29,0,0,0
1990,33,0,0,0,0
1991,40,0,0,0,0
1992,54,0,0,0,0
1993,69,0,0,0,0
1994,103,0,0,0,0
1995,111,0,0,0,0
1996,217,0,0,0,0
1997,195,0,0,0,0
1998,444,0,0,0,0
1999,688,0,0,0,0
2000,0,0,824,0,0
2001,0,0,797,0,0
2002,0,0,781,0,0
2003,0,0,663,0,0
2004,0,0,513,0,0
2005,0,0,414,0,0
2006,0,0,468,0,0
2007,0,0,384,0,0
2008,0,0,411,0,0
2009,0,0,485,0,0
2010,0,0,0,0,794
2011,0,0,0,0,969
2012,0,0,0,0,1182
2013,0,0,0,0,1326
2014,0,0,0,0,1697
2015,0,0,0,0,1561
2016,0,0,0,0,1705
2017,0,0,0,0,1599
2018,0,0,0,0,1376
2019,0,0,0,0,1632
2020,0,0,0,1391,0
2021,0,0,0,1404,0
2022,0,0,0,1418,0
2023,0,0,0,1208,0
2024,0,0,0,1549,0
2025,0,0,0,1177,0
